"","population","Sim","Cases","Deaths","Exposed","ICU beds occupied","Infected (clinical)","Infected (preclinical)","Infected (subclinical)","Non-ICU beds occupied","Recovered","Reported cases","Subclinical cases","Susceptible","readable_name","0-14","15-29","30-44","45-59","60-74","75+"
"20","United Kingdom","D",23496180.262259,265546.595686412,188555863.590614,6975462.9583,82000733.4950704,35246418.729273,117474978.723584,13166096.5517272,2070552998.61049,23496180.262259,23579540.6332061,11694343842.851,"Deaths",508.590528013689,2842.78474361293,7789.26478851049,29084.9381280142,119620.764009632,105700.253488628
"21","Germany","E",34111370.667554,490631.354979181,261933993.531167,12133929.0011061,119389184.324432,51167196.9953382,156858927.833647,22788610.4206842,4908514842.67307,34111370.667554,31371987.6023556,10588653294.6423,"Deaths",451.85597464978,3854.1544622131,10794.9358995428,53594.5984990144,200898.750971943,221037.059171818
"22","Ireland","E",1902411.57385734,18938.5338410464,15837530.6069175,470476.479540935,6657858.52519273,2853629.76777387,10282920.6865046,883869.827170876,229422667.41927,1902411.57385734,2056825.52447492,510179364.994341,"Deaths",61.9534358510544,246.701726545229,771.005838038446,2484.95112040631,8835.6755428962,6538.24617730919
"23","Spain","E",19060852.55708,275202.664992976,145438756.175658,6803914.32600785,66712968.0879026,28591354.9544881,86494122.210099,12778093.1158384,3761094659.87105,19060852.55708,17298830.5232835,6057456049.7008,"Deaths",290.31083000918,1832.60236815636,7250.24731161516,28832.7067700339,102463.215449708,134533.582263453
"24","Sweden","E",4024127.95649121,55427.1219729234,31507047.5540312,1370422.94769494,14084427.6538953,6036208.14456689,19263097.2784976,2573733.8436035,692605042.432411,4024127.95649121,3852627.33211323,1165464746.9366,"Deaths",69.8499762197502,525.696652060052,1303.49346124752,5445.74508811254,24993.2096624152,23089.1271328684
"25","United Kingdom","E",28853182.7896797,382562.379022009,230374511.647146,9458887.81503833,100986036.546502,43279890.0361582,143701916.779555,17764346.0149171,4649588449.38919,28853182.7896797,28740420.1468546,8137725979.60144,"Deaths",754.765186315254,3661.47304097254,9355.05126671396,37325.2160107382,166680.015324644,164785.858192625
"26","Germany","F",39278492.534349,609392.855208129,300176120.078855,15066027.2295271,137474726.19782,58917895.366507,178827676.932617,28294734.13542,7945783586.92673,39278492.534349,35765535.331738,7465337434.49747,"Deaths",636.200989897703,4281.2602215468,11384.6262023463,57781.3119664611,239062.509323424,296246.946504453
"27","Ireland","F",2180089.84860056,23608.9317995794,18088348.0335495,583687.201471554,7630314.41232834,3270143.46401187,11709977.2657097,1096193.32368989,377145951.35062,2180089.84860056,2341995.52457019,357389237.47378,"Deaths",77.0712583180169,274.503053852591,811.885617422188,2722.00683271726,10927.2770577424,8796.18797952694
"28","Spain","F",22012095.0750299,336724.483239752,168007034.890813,8324843.33064238,77042334.0866977,33018230.3530299,99948308.9842965,15634461.8688579,5593938928.07028,22012095.0750299,19989661.7581691,4173833074.61488,"Deaths",423.317706124794,2090.35890289827,7634.5543553747,31534.114932053,124755.980553991,170286.156789309
"29","Sweden","F",4615955.26606267,67779.4004312518,36169488.572252,1675711.21736876,16155843.6975556,6923951.29827868,22132076.2240905,3147067.41961993,1034942229.80941,4615955.26606267,4426415.24146355,812636980.398413,"Deaths",100.566616017364,581.414769858717,1375.54534506723,5798.42419096437,29507.4543661363,30415.9951432078
"30","United Kingdom","F",32105489.2531025,449852.277361425,255565995.50498,11121705.7689176,112369214.323428,48158361.8525758,158930038.14739,20887105.957508,7120352773.49666,32105489.2531025,31786007.5648033,5610280400.67498,"Deaths",881.365705265512,3966.18104176487,9748.79251323878,40303.4440887252,190176.656117354,204775.837895076
"31","Germany","G",34111188.457878,490507.532874631,261933023.957257,12133104.0950257,119388211.846724,51166926.4139986,156857704.290139,22787336.9091683,4712067568.16994,34111188.457878,31371852.4269185,10533752170.3219,"Deaths",451.611201531817,3853.6185632444,10794.0475137645,53589.8179626283,200851.676446063,220966.761187399
"32","Ireland","G",1902756.5089917,19067.0538398887,15839652.2462402,471417.765701202,6659641.87556051,2854142.39767358,10285754.7583724,885348.48226392,364049877.192313,1902756.5089917,2057153.46332703,543429967.52984,"Deaths",62.6636069060375,247.615782214069,772.359249793381,2491.76210048823,8893.84528162322,6598.80781886374
"33","Spain","G",19060847.4660296,275200.530718165,145438726.798068,6803897.78139452,66712942.1987813,28591347.3853119,86494086.6758827,12778066.8542049,3652015689.84915,19060847.4660296,17298826.3165414,6026270769.09281,"Deaths",290.303486920438,1832.59234779862,7250.23120752006,28832.601163661,102462.467959646,134532.334552619
"34","Sweden","G",4024121.85632169,55424.3171155271,31507011.4035635,1370402.12631716,14084396.2454849,6036199.07782327,19263050.9849641,2573701.04012032,668974876.220102,4024121.85632169,3852621.94772987,1158797226.06806,"Deaths",69.8386944976296,525.682064539443,1303.47463511452,5445.65407109088,24992.1548691068,23087.5127811779
"35","United Kingdom","G",28853151.9493555,382536.847820763,230374347.126135,9458732.92696018,100985865.642208,43279844.2809068,143701685.993075,17764111.2441042,4476808146.36922,28853151.9493555,28740396.0832787,8106848882.58845,"Deaths",754.700526933402,3661.33848561802,9354.84365904247,37323.9387305593,166670.606185665,164771.420232945
"36","Germany","H",39278492.3927836,609392.541892416,300176119.318169,15066025.8513578,137474725.322872,58917895.1570445,178827675.513308,28294732.1782677,7045255256.00771,39278492.3927836,35765535.206059,7360458428.6809,"Deaths",636.199244367633,4281.25910078724,11384.6251185801,57781.3070955606,239062.434501143,296246.716831977
"37","Ireland","H",2180089.91657182,23609.0729530122,18088348.3878549,583687.812342638,7630314.83739749,3270143.56455362,11709977.9307721,1096194.18746921,481153916.053994,2180089.91657182,2341995.58230534,366950579.225428,"Deaths",77.0719612719568,274.503580041607,811.886074832163,2722.00992238311,10927.3337919084,8796.26762257503
"38","Spain","H",22012095.0623057,336724.472589322,168007034.814444,8324843.2678241,77042334.0153852,33018230.3341573,99948308.8617702,15634461.7741784,5089917846.38457,22012095.0623057,19989661.7456109,4116796760.58967,"Deaths",423.317625423163,2090.35885444346,7634.55432211612,31534.1146357593,124755.977285721,170286.149865859
"39","Sweden","H",4615955.22377477,67779.36079758,36169488.317657,1675710.99364699,16155843.4569055,6923951.23558083,22132075.7989877,3147067.08532878,917391414.289147,4615955.22377477,4426415.19887762,798897286.901723,"Deaths",100.566283301719,581.41465140031,1375.54524294741,5798.4236786091,29507.4435903552,30415.9673509663
"40","United Kingdom","H",32105489.2512315,449852.264143472,255565995.496709,11121705.7273998,112369214.310195,48158361.8498167,158930038.129073,20887105.9029545,6289763314.90876,32105489.2512315,31786007.5634908,5558351807.30545,"Deaths",881.365673372458,3966.18100146585,9748.79247297514,40303.443742566,190176.652096214,204775.829156879
